"","accuracy","precision","recall","F1","accuracyLDA","precisionLDA","recallLDA","F1LDA","AUC"
"Youtube.iCloud",0.828703703703704,0.333333333333333,0.37037037037037,0.350877192982456,0.800925925925926,0.333333333333333,0.592592592592593,0.426666666666667,0.776406035665295
"SoundCloud.Cloudant",0.862745098039216,0.333333333333333,0.12,0.176470588235294,0.823529411764706,0.351351351351351,0.52,0.419354838709677,0.68804469273743
"SoundCloud.Netflix",0.853881278538813,0.363636363636364,0.137931034482759,0.2,0.780821917808219,0.288888888888889,0.448275862068966,0.351351351351351,0.686932849364791
"GitHub.Netflix",0.758620689655172,0.166666666666667,0.0416666666666667,0.0666666666666667,0.741379310344828,0.375,0.375,0.375,0.69338768115942
"Amazon.Youtube",0.900662251655629,0.428571428571429,0.214285714285714,0.285714285714286,0.880794701986755,0.3,0.214285714285714,0.25,0.782586027111575
"Facebook.iCloud",0.833333333333333,0.346153846153846,0.3,0.321428571428571,0.820175438596491,0.365853658536585,0.5,0.422535211267606,0.724747474747475
"Amazon.Twitter",0.848,0.4,0.111111111111111,0.173913043478261,0.872,0.6,0.333333333333333,0.428571428571429,0.748182762201454
"Twitter.Cloudant",0.810526315789474,0.166666666666667,0.0714285714285714,0.1,0.810526315789474,0.375,0.428571428571429,0.4,0.744268077601411
"Yahoo.Google",0.864864864864865,0.8,0.173913043478261,0.285714285714286,0.810810810810811,0.391304347826087,0.391304347826087,0.391304347826087,0.782608695652174
"Yahoo.Facebook",0.897435897435897,0.5,0.15,0.230769230769231,0.851282051282051,0.363636363636364,0.6,0.452830188679245,0.783142857142857
"Amazon.SoundCloud",0.88034188034188,0.571428571428571,0.137931034482759,0.222222222222222,0.82051282051282,0.324324324324324,0.413793103448276,0.363636363636364,0.72363330529857
"Twitter.Youtube",0.846774193548387,0.142857142857143,0.0714285714285714,0.0952380952380952,0.879032258064516,0.461538461538462,0.428571428571429,0.444444444444444,0.726623376623377
"GitHub.SoundCloud",0.826291079812207,0.333333333333333,0.0571428571428571,0.0975609756097561,0.830985915492958,0.486486486486487,0.514285714285714,0.5,0.639486356340289
"Cloudant.Youtube",0.892561983471074,0.285714285714286,0.2,0.235294117647059,0.809917355371901,0.217391304347826,0.5,0.303030303030303,0.795495495495496
"Twitter.iCloud",0.778947368421053,0.310344827586207,0.290322580645161,0.3,0.773684210526316,0.369565217391304,0.548387096774194,0.441558441558442,0.697098803002637
"Instagram.Youtube",0.885057471264368,0.454545454545455,0.555555555555556,0.5,0.850574712643678,0.357142857142857,0.555555555555556,0.434782608695652,0.827635327635328
"Amazon.Cloudant",0.885245901639344,0.5,0.214285714285714,0.3,0.868852459016393,0.428571428571429,0.428571428571429,0.428571428571429,0.837962962962963
"SoundCloud.Twitter",0.835748792270531,0.272727272727273,0.103448275862069,0.15,0.830917874396135,0.392857142857143,0.379310344827586,0.385964912280702,0.641224331654398
"Google.Facebook",0.850393700787402,0.5,0.0526315789473684,0.0952380952380952,0.866141732283465,0.625,0.263157894736842,0.37037037037037,0.657894736842105
"Google.Netflix",0.792079207920792,0.444444444444444,0.2,0.275862068965517,0.792079207920792,0.470588235294118,0.4,0.432432432432432,0.682098765432099
"Cloudant.Facebook",0.887218045112782,0.25,0.0769230769230769,0.117647058823529,0.87218045112782,0.3,0.230769230769231,0.260869565217391,0.727564102564103
"Netflix.iCloud",0.782178217821782,0.348837209302326,0.483870967741935,0.405405405405405,0.782178217821782,0.381818181818182,0.67741935483871,0.488372093023256,0.729862290133937
"Cloudant.Netflix",0.831775700934579,0.3,0.214285714285714,0.25,0.766355140186916,0.260869565217391,0.428571428571429,0.324324324324324,0.814132104454685
"Netflix.Facebook",0.844594594594595,0.2,0.117647058823529,0.148148148148148,0.810810810810811,0.260869565217391,0.352941176470588,0.3,0.706780422092501
"Yahoo.GitHub",0.846625766871166,0.75,0.111111111111111,0.193548387096774,0.803680981595092,0.413793103448276,0.444444444444444,0.428571428571429,0.775871459694989
"Google.iCloud",0.795580110497238,0.423076923076923,0.333333333333333,0.372881355932203,0.790055248618785,0.428571428571429,0.454545454545455,0.441176470588235,0.718263718263718
"GitHub.Youtube",0.838461538461538,0.333333333333333,0.05,0.0869565217391304,0.815384615384615,0.4,0.4,0.4,0.725
"SoundCloud.Youtube",0.888412017167382,0.461538461538462,0.24,0.315789473684211,0.84549356223176,0.342857142857143,0.48,0.4,0.673461538461538
"Google.Instagram",0.769230769230769,0.666666666666667,0.4,0.5,0.730769230769231,0.555555555555556,0.333333333333333,0.416666666666667,0.691891891891892
"Amazon.Instagram",0.875,0.6,0.461538461538462,0.521739130434783,0.840909090909091,0.454545454545455,0.384615384615385,0.416666666666667,0.851282051282051
"Yahoo.iCloud",0.835341365461847,0.387096774193548,0.352941176470588,0.369230769230769,0.795180722891566,0.355932203389831,0.617647058823529,0.451612903225806,0.791108071135431
"GitHub.Cloudant",0.792079207920792,0.333333333333333,0.05,0.0869565217391304,0.772277227722772,0.411764705882353,0.35,0.378378378378378,0.748148148148148
"GitHub.Twitter",0.75,0,0,NA,0.769230769230769,0.5,0.291666666666667,0.368421052631579,0.6296875
"Google.Cloudant",0.813953488372093,0.5,0.125,0.2,0.848837209302326,0.636363636363636,0.4375,0.518518518518518,0.741964285714286
"Google.Twitter",0.775280898876405,0.5,0.05,0.0909090909090909,0.786516853932584,0.555555555555556,0.25,0.344827586206897,0.603623188405797
"Cloudant.iCloud",0.807486631016043,0.344827586206897,0.37037037037037,0.357142857142857,0.775401069518717,0.340425531914894,0.592592592592593,0.432432432432432,0.783564814814815
"Google.Amazon",0.844827586206897,0.75,0.15,0.25,0.827586206896552,0.5,0.2,0.285714285714286,0.774479166666667
"GitHub.Instagram",0.73134328358209,0.571428571428571,0.210526315789474,0.307692307692308,0.716417910447761,0.5,0.473684210526316,0.486486486486487,0.723684210526316
"Amazon.iCloud",0.829493087557604,0.392857142857143,0.354838709677419,0.372881355932203,0.834101382488479,0.435897435897436,0.548387096774194,0.485714285714286,0.770378078390565
"SoundCloud.iCloud",0.839464882943144,0.4,0.285714285714286,0.333333333333333,0.826086956521739,0.403846153846154,0.5,0.446808510638298,0.670928293496387
"Yahoo.Amazon",0.896739130434783,0.625,0.238095238095238,0.344827586206897,0.815217391304348,0.290322580645161,0.428571428571429,0.346153846153846,0.821209465381245
"GitHub.Facebook",0.830985915492958,0,0,NA,0.823943661971831,0.4375,0.304347826086957,0.358974358974359,0.71574716843259
"Yahoo.Twitter",0.866242038216561,0.5,0.19047619047619,0.275862068965517,0.834394904458599,0.413793103448276,0.571428571428571,0.48,0.792366946778711
"Cloudant.Instagram",0.844827586206897,0.5,0.555555555555556,0.526315789473684,0.844827586206897,0.5,0.666666666666667,0.571428571428572,0.900226757369615
"Amazon.Facebook",0.895705521472393,0.5,0.117647058823529,0.19047619047619,0.865030674846626,0.272727272727273,0.176470588235294,0.214285714285714,0.766720386784851
"SoundCloud.Facebook",0.877551020408163,0.375,0.107142857142857,0.166666666666667,0.840816326530612,0.342857142857143,0.428571428571429,0.380952380952381,0.613396971691903
"Twitter.Facebook",0.852941176470588,0,0,NA,0.823529411764706,0.266666666666667,0.235294117647059,0.25,0.670785961443401
"Twitter.Instagram",0.754098360655738,0.4,0.307692307692308,0.347826086956522,0.819672131147541,0.571428571428571,0.615384615384615,0.592592592592593,0.703525641025641
"Instagram.Facebook",0.878787878787879,0.5,0.333333333333333,0.4,0.848484848484849,0.4,0.5,0.444444444444444,0.725095785440613
"Amazon.Netflix",0.854014598540146,0.4,0.222222222222222,0.285714285714286,0.817518248175182,0.266666666666667,0.222222222222222,0.242424242424242,0.802521008403361
"GitHub.Amazon",0.816793893129771,0.5,0.0416666666666667,0.0769230769230769,0.816793893129771,0.5,0.375,0.428571428571429,0.798286604361371
"Yahoo.SoundCloud",0.890977443609023,0.636363636363636,0.21875,0.325581395348837,0.823308270676692,0.363636363636364,0.625,0.459770114942529,0.734107905982906
"Instagram.Netflix",0.753424657534247,0.368421052631579,0.538461538461538,0.4375,0.753424657534247,0.4,0.769230769230769,0.526315789473684,0.791025641025641
"Yahoo.Netflix",0.85207100591716,0.357142857142857,0.238095238095238,0.285714285714286,0.85207100591716,0.423076923076923,0.523809523809524,0.468085106382979,0.83043758043758
"Facebook.Youtube",0.901234567901235,0.2,0.0769230769230769,0.111111111111111,0.851851851851852,0.210526315789474,0.307692307692308,0.25,0.679401135776975
"GitHub.iCloud",0.785714285714286,0.380952380952381,0.216216216216216,0.275862068965517,0.780612244897959,0.411764705882353,0.378378378378378,0.394366197183099,0.731089580146184
"SoundCloud.Instagram",0.864705882352941,0.533333333333333,0.333333333333333,0.41025641025641,0.823529411764706,0.392857142857143,0.458333333333333,0.423076923076923,0.685787671232877
"Yahoo.Youtube",0.901639344262295,0.444444444444444,0.235294117647059,0.307692307692308,0.852459016393443,0.352941176470588,0.705882352941177,0.470588235294118,0.825301204819277
"Instagram.iCloud",0.777777777777778,0.382352941176471,0.5,0.433333333333333,0.751633986928105,0.363636363636364,0.615384615384615,0.457142857142857,0.776499091459721
"Google.Youtube",0.852173913043478,0.4,0.125,0.19047619047619,0.869565217391304,0.545454545454545,0.375,0.444444444444444,0.683712121212121
"Yahoo.Cloudant",0.88961038961039,0.5,0.294117647058824,0.37037037037037,0.779220779220779,0.27027027027027,0.588235294117647,0.37037037037037,0.878488621726063
"Twitter.Netflix",0.790909090909091,0.272727272727273,0.166666666666667,0.206896551724138,0.727272727272727,0.269230769230769,0.388888888888889,0.318181818181818,0.680555555555556
"Netflix.Youtube",0.860294117647059,0.272727272727273,0.214285714285714,0.24,0.860294117647059,0.391304347826087,0.642857142857143,0.486486486486487,0.771662763466042
"Google.GitHub",0.736842105263158,1,0.0384615384615385,0.0740740740740741,0.768421052631579,0.7,0.269230769230769,0.388888888888889,0.685061315496098
"Yahoo.Instagram",0.891666666666667,0.615384615384615,0.5,0.551724137931034,0.791666666666667,0.344827586206897,0.625,0.444444444444444,0.893028846153846
"Google.SoundCloud",0.848484848484849,0.6,0.0967741935483871,0.166666666666667,0.813131313131313,0.4,0.387096774193548,0.39344262295082,0.622947653080935
